step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds
0,,1.0,100.0,0.0
1,524.0,0.9740217151991933,99.82142857142857,14.4465
2,130.0,0.9642220887483978,99.64285714285714,14.668
3,367.0,0.9540431748241336,99.46428571428572,14.5753
4,169.0,0.9471150130119076,99.28571428571429,14.5137
5,11.0,0.9380150037778746,99.10714285714286,14.4697
6,52.0,0.9227726374187718,98.92857142857143,14.4094
7,212.0,0.9187773996678714,98.75,14.3524
8,140.0,0.9167478840933303,98.57142857142858,14.2445
9,328.0,0.8953995838195611,98.39285714285715,14.3006
10,372.0,0.893133790147722,98.21428571428571,14.3902
11,176.0,0.8855011386367148,98.03571428571428,14.2306
12,497.0,0.8816603506622153,97.85714285714285,14.2892
13,324.0,0.8646252717691665,97.67857142857143,13.2073
14,121.0,0.8603104480849327,97.5,13.1878
15,281.0,0.8229345313877258,97.32142857142857,12.4261
16,153.0,0.7921197507025107,97.14285714285714,12.3208
17,455.0,0.7921197507025107,96.96428571428571,0.0
18,318.0,0.7912143875578285,96.78571428571429,12.2813
19,35.0,0.7452546342782513,96.60714285714286,11.774
20,41.0,0.7108353241308262,96.42857142857143,11.1403
21,523.0,0.7040967730129634,96.25,10.9305
22,410.0,0.6897681902486743,96.07142857142857,10.9395
23,363.0,0.6870073808418145,95.89285714285715,10.9843
24,549.0,0.686724547683353,95.71428571428572,10.9488
25,174.0,0.6569298379256701,95.53571428571429,10.4342
26,268.0,0.6423052708036114,95.35714285714285,10.3833
27,395.0,0.6317357557326105,95.17857142857142,10.3978
28,202.0,0.6205718904360701,95.0,10.4431
29,241.0,0.5855529860015749,94.82142857142857,10.2801
30,424.0,0.5671312121863236,94.64285714285714,9.9423
31,474.0,0.5589805330777613,94.46428571428571,10.6379
32,452.0,0.55105268840298,94.28571428571428,10.4317
33,79.0,0.5323539592232844,94.10714285714286,9.683
34,403.0,0.5287569170122576,93.92857142857143,9.8883
35,456.0,0.527172649308044,93.75,9.7918
36,215.0,0.5208747731978604,93.57142857142857,9.9037
37,354.0,0.5216100446949866,93.39285714285714,10.1669
38,447.0,0.5207628483502651,93.21428571428572,10.0985
39,480.0,0.5147159734967783,93.03571428571429,9.9137
40,167.0,0.5107142803768759,92.85714285714286,10.2169
41,40.0,0.5084653398794367,92.67857142857143,10.1045
42,519.0,0.503036793697184,92.5,10.0004
43,64.0,0.48967788058685396,92.32142857142858,9.547
44,139.0,0.48488751293453697,92.14285714285715,9.5753
45,418.0,0.48415654117209106,91.96428571428571,9.666
46,54.0,0.48371230877872323,91.78571428571428,9.8337
47,464.0,0.4734311845036859,91.60714285714285,9.0592
48,348.0,0.4699650463847436,91.42857142857143,9.5167
49,27.0,0.4361743239092439,91.25,15.5761
50,23.0,0.42391764539051674,91.07142857142857,7.2065
51,487.0,0.36346922091311673,90.89285714285714,8.4601
52,31.0,0.3608777791214957,90.71428571428571,8.4338
53,9.0,0.36081120792471694,90.53571428571429,8.4007
54,129.0,0.36073208331924494,90.35714285714286,8.7454
55,228.0,0.27941173455107937,90.17857142857143,3.7258
56,506.0,0.2702750446262595,90.0,3.803
57,429.0,0.2685030811080113,89.82142857142857,3.8163
58,555.0,0.26823394154891317,89.64285714285715,3.6439
59,437.0,0.2604160912391089,89.46428571428572,3.7888
60,116.0,0.25804248901972926,89.28571428571429,3.4766
61,292.0,0.25672417179838675,89.10714285714285,3.7182
62,405.0,0.24461136441478826,88.92857142857142,3.3594
63,411.0,0.24340033987046772,88.75,3.4212
64,44.0,0.2421059845398565,88.57142857142857,3.5903
65,331.0,0.24057534720738188,88.39285714285714,3.3278
66,60.0,0.24041591070237975,88.21428571428571,3.5352
67,159.0,0.23642389169390618,88.03571428571428,3.175
68,56.0,0.23621735445716707,87.85714285714286,3.3352
69,300.0,0.2360519545158037,87.67857142857143,3.2847
70,223.0,0.23312580266650557,87.5,3.3157
71,135.0,0.23230760786735236,87.32142857142857,3.073
72,287.0,0.22850592056918104,87.14285714285714,3.2886
73,495.0,0.22847397753790105,86.96428571428572,3.0701
74,91.0,0.2265746718755904,86.78571428571429,3.2502
75,431.0,0.22512011982310887,86.60714285714286,3.0289
76,77.0,0.2140036837579329,86.42857142857143,2.9194
77,449.0,0.21312502654332827,86.25,2.8936
78,63.0,0.2130057287761417,86.07142857142858,3.0581
79,170.0,0.21249704747896528,85.89285714285715,2.8094
80,88.0,0.19866941574118155,85.71428571428572,2.7271
81,321.0,0.19851008318366967,85.53571428571428,2.726
82,329.0,0.19846473876570322,85.35714285714285,2.7116
83,413.0,0.1963755362861717,85.17857142857143,2.8124
84,256.0,0.19168976560770593,85.0,2.565
85,209.0,0.1906326325029392,84.82142857142857,2.6959
86,362.0,0.18965156684994502,84.64285714285714,2.6797
87,481.0,0.18794996213199244,84.46428571428571,2.6391
88,69.0,0.18001240613245986,84.28571428571429,2.5459
89,229.0,0.17976654450128418,84.10714285714286,2.4257
90,309.0,0.178983050717139,83.92857142857143,2.6502
91,184.0,0.1777028762572303,83.75,2.4087
92,308.0,0.17762538813056494,83.57142857142857,2.5422
93,189.0,0.17499228904783884,83.39285714285715,2.4875
94,289.0,0.17465134449971087,83.21428571428572,2.4589
95,457.0,0.1741239397543426,83.03571428571428,2.47
96,461.0,0.17049096189000637,82.85714285714285,2.162
97,166.0,0.16988989887700112,82.67857142857142,2.2719
98,390.0,0.16332251369070566,82.5,2.2245
99,257.0,0.1628563850337905,82.32142857142857,2.0497
100,48.0,0.16222688454154371,82.14285714285714,2.0982
101,10.0,0.16222688454154371,81.96428571428571,0.0
