step,percent_remaining,normalized_efficiency,diameter,density,meshedness,avg_shortest_path,betweenness_centrality,graph_radius,clustering_coefficient
0.0,100.0,1.0,57.0,0.005629160899083778,0.6,19.30211587897963,0.0471704017499475,30.0,0.008974358974358974
1.0,99.74358974358977,0.8529409781558371,53.0,0.006560014299758691,0.6015037593984962,18.01108231298597,0.05108433127022814,28.0,0.010447761194029851
2.0,99.48717948717947,0.7626570584209299,53.0,0.006548717392090886,0.5930408472012103,18.914541047071168,0.05412248050474673,29.0,0.010510510510510511
3.0,99.23076923076924,0.700198719278428,64.0,0.006497288246642158,0.5811836115326252,24.14061078149456,0.07012306297422595,32.0,0.010542168674698794
4.0,98.97435897435898,0.5174234997645134,53.0,0.01043749695166561,0.5635910224438903,19.52494756864849,0.09216391825198254,27.0,0.008210180623973726
5.0,98.71794871794872,0.4326178074905066,40.0,0.015577342047930284,0.5655430711610487,15.95119825708061,0.11157610639612396,20.0,0.012254901960784312
6.0,98.46153846153848,0.3910082368403553,40.0,0.015577342047930284,0.5655430711610487,15.95119825708061,0.11157610639612396,20.0,0.012254901960784312
7.0,98.2051282051282,0.3547924687700693,40.0,0.01847539201987269,0.5605381165919282,16.26020804222947,0.13625185751990596,20.0,0.014619883040935672
8.0,97.94871794871794,0.3257629251384626,28.0,0.02280701754385965,0.6042780748663101,10.257675438596491,0.09848590892123926,14.0,0.010416666666666666
9.0,97.6923076923077,0.3070803094115298,34.0,0.022396416573348264,0.572972972972973,13.21097424412094,0.13130079832388108,17.0,0.010526315789473684
10.0,97.43589743589745,0.2719584538084135,33.0,0.02736842105263158,0.5510204081632653,12.592631578947369,0.15665718349928878,17.0,0.0
11.0,97.17948717948718,0.2539847849942729,33.0,0.02736842105263158,0.5510204081632653,12.592631578947369,0.15665718349928878,17.0,0.0
12.0,96.92307692307692,0.2374630923902054,28.0,0.031701631701631705,0.5590551181102362,9.668997668997669,0.13545308857808858,14.0,0.0
13.0,96.66666666666669,0.224775589167197,23.0,0.0392156862745098,0.5353535353535354,9.259426847662143,0.16518853695324281,12.0,0.0
14.0,96.4102564102564,0.213873487988276,26.0,0.043478260869565216,0.5393258426966292,9.441258094357076,0.187583513207935,14.0,0.0
15.0,96.15384615384616,0.203573591536629,26.0,0.043478260869565216,0.5393258426966292,9.441258094357076,0.187583513207935,14.0,0.0
16.0,95.8974358974359,0.1937203558712074,26.0,0.043478260869565216,0.5393258426966292,9.441258094357076,0.187583513207935,14.0,0.0
17.0,95.64102564102564,0.1843056299535519,26.0,0.043478260869565216,0.5393258426966292,9.441258094357076,0.187583513207935,14.0,0.0
18.0,95.38461538461536,0.1759378384968291,26.0,0.043478260869565216,0.5393258426966292,9.441258094357076,0.187583513207935,14.0,0.0
19.0,95.12820512820512,0.1676711953434478,26.0,0.05405405405405406,0.5217391304347826,9.477477477477477,0.24221364221364217,13.0,0.0
20.0,94.87179487179486,0.1586923995672611,25.0,0.05714285714285714,0.5230769230769231,9.405042016806723,0.25469824293353704,13.0,0.0
21.0,94.6153846153846,0.1527896881005191,15.0,0.07407407407407407,0.5686274509803921,6.044973544973545,0.19403744403744408,9.0,0.0
22.0,94.35897435897436,0.1474444823954371,15.0,0.07407407407407407,0.5686274509803921,6.044973544973545,0.19403744403744408,9.0,0.0
23.0,94.1025641025641,0.1432658034608765,15.0,0.07407407407407407,0.5686274509803921,6.044973544973545,0.19403744403744408,9.0,0.0
24.0,93.84615384615384,0.1392935433559621,15.0,0.07407407407407407,0.5686274509803921,6.044973544973545,0.19403744403744408,9.0,0.0
25.0,93.5897435897436,0.1354024300627803,15.0,0.07407407407407407,0.5686274509803921,6.044973544973545,0.19403744403744408,9.0,0.0
26.0,93.33333333333331,0.131597460775079,15.0,0.07407407407407407,0.5686274509803921,6.044973544973545,0.19403744403744408,9.0,0.0
27.0,93.07692307692308,0.1283056245238166,17.0,0.09090909090909091,0.5384615384615384,6.298701298701299,0.2649350649350649,9.0,0.0
28.0,92.82051282051282,0.124980841517094,21.0,0.09090909090909091,0.5384615384615384,7.666666666666667,0.3333333333333334,11.0,0.0
29.0,92.56410256410255,0.1219163081831961,15.0,0.1,0.5945945945945946,5.752380952380952,0.25012531328320803,8.0,0.0
30.0,92.3076923076923,0.1189175365732704,15.0,0.1,0.5945945945945946,5.752380952380952,0.25012531328320803,8.0,0.0
31.0,92.05128205128206,0.1162835498823858,15.0,0.1,0.5945945945945946,5.752380952380952,0.25012531328320803,8.0,0.0
32.0,91.7948717948718,0.1137297561375294,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
33.0,91.53846153846152,0.1111811472432044,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
34.0,91.28205128205128,0.1088002700510406,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
35.0,91.02564102564102,0.1064729319027489,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
36.0,90.76923076923076,0.1041461914506719,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
37.0,90.51282051282053,0.1019017474090934,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
38.0,90.25641025641026,0.0996729093656007,17.0,0.10526315789473684,0.5454545454545454,6.421052631578948,0.31888544891640863,9.0,0.0
39.0,90.0,0.0974751752968707,15.0,0.125,0.5555555555555556,5.666666666666667,0.33333333333333337,8.0,0.0
