step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds
0,,1.0,100.0,0.0
1,"(142, 63)",0.9964921139557474,99.91803278688525,18.6752
2,"(344, 343)",0.9942407965249282,99.8360655737705,18.3282
3,"(404, 13)",0.9904744005591904,99.75409836065575,18.2083
4,"(327, 328)",0.9878711998023925,99.672131147541,18.4203
5,"(97, 16)",0.988990256958921,99.59016393442623,18.7505
6,"(131, 130)",0.9867719818091573,99.50819672131146,18.558
7,"(16, 97)",0.9858923643576131,99.42622950819671,18.5279
8,"(38, 273)",0.977567008856393,99.34426229508196,18.4135
9,"(435, 434)",0.9769120033295463,99.26229508196721,18.7034
10,"(36, 35)",0.964183035043868,99.18032786885246,18.136
11,"(403, 105)",0.96291099914911,99.09836065573771,17.7798
12,"(250, 251)",0.9469278692646163,99.01639344262296,17.7405
13,"(56, 57)",0.9422113070380652,98.9344262295082,17.5874
14,"(155, 154)",0.9319298450896008,98.85245901639344,17.633
15,"(449, 448)",0.9322346013355,98.77049180327869,18.0082
16,"(71, 72)",0.9197969381512958,98.68852459016394,17.3268
17,"(257, 258)",0.9155378789850442,98.60655737704917,17.415
18,"(305, 306)",0.9147577060098286,98.52459016393442,17.5435
19,"(426, 344)",0.9089889530483273,98.44262295081967,17.1058
20,"(109, 146)",0.9099849900849045,98.36065573770492,17.5447
21,"(54, 53)",0.8960915767369683,98.27868852459017,17.5618
22,"(373, 172)",0.8921886364487849,98.19672131147541,17.9086
23,"(157, 158)",0.8837271717882724,98.11475409836066,17.9972
24,"(549, 307)",0.8837467539564103,98.0327868852459,17.7284
25,"(71, 70)",0.8726228755658413,97.95081967213115,17.8676
26,"(220, 219)",0.8641527999497838,97.8688524590164,17.7312
27,"(519, 520)",0.8579894028469749,97.78688524590164,18.0543
28,"(231, 232)",0.8564612083101782,97.70491803278688,18.1425
29,"(232, 231)",0.8545120531660808,97.62295081967213,18.0896
30,"(66, 65)",0.8502696546111916,97.54098360655738,18.0465
31,"(58, 57)",0.8491628226172572,97.45901639344262,17.7234
32,"(367, 368)",0.847151104077697,97.37704918032787,17.9274
33,"(114, 113)",0.8300753841648133,97.29508196721312,17.627
34,"(354, 355)",0.8324895883108219,97.21311475409836,17.8707
35,"(43, 44)",0.8183008402458466,97.1311475409836,17.0244
36,"(31, 30)",0.8067831863926138,97.04918032786885,16.8238
37,"(70, 71)",0.806449791962423,96.9672131147541,17.0358
38,"(217, 177)",0.8019970620577499,96.88524590163934,17.4018
39,"(430, 433)",0.8005807316302777,96.80327868852459,16.8485
40,"(249, 248)",0.7840653861212961,96.72131147540983,17.5219
41,"(100, 99)",0.7831516440005317,96.63934426229508,17.868
42,"(158, 159)",0.7820256001318869,96.55737704918033,17.7333
43,"(187, 188)",0.7748377184523724,96.47540983606558,17.2632
44,"(520, 521)",0.7744458664223244,96.39344262295081,17.1809
45,"(162, 163)",0.7733517672695822,96.31147540983606,17.3048
46,"(469, 468)",0.7702083336155784,96.22950819672131,17.1961
47,"(515, 516)",0.7710939598258175,96.14754098360656,17.3274
48,"(156, 155)",0.7707515074168451,96.06557377049181,17.3011
49,"(179, 178)",0.7585308727489518,95.98360655737706,16.8132
50,"(277, 278)",0.7550683677637355,95.90163934426229,17.0108
51,"(165, 36)",0.754890837741085,95.81967213114754,16.9754
52,"(407, 406)",0.7543209797048026,95.73770491803279,17.0404
53,"(314, 315)",0.7433570282917831,95.65573770491802,15.9022
54,"(426, 425)",0.7269860518062806,95.57377049180327,16.2046
55,"(409, 408)",0.7208766937027927,95.49180327868852,16.0771
56,"(470, 469)",0.7208568399312216,95.40983606557377,16.2174
57,"(186, 187)",0.7202282939923883,95.32786885245902,16.3195
58,"(32, 33)",0.6939039701716792,95.24590163934427,15.5783
59,"(0, 1)",0.6895223535981345,95.16393442622952,15.7341
60,"(464, 465)",0.6854184447935034,95.08196721311475,15.5057
61,"(164, 463)",0.6843060752167549,95.0,15.4222
62,"(15, 14)",0.6746206106404778,94.91803278688525,14.9572
63,"(36, 276)",0.6718872237431264,94.83606557377048,15.3364
64,"(15, 133)",0.6701030104698842,94.75409836065573,15.3125
65,"(57, 58)",0.6700718375847552,94.67213114754098,15.1461
66,"(434, 433)",0.6699927183751464,94.59016393442623,15.2966
67,"(95, 96)",0.6680538947386714,94.50819672131148,15.1539
68,"(301, 55)",0.6675809856499528,94.42622950819673,15.2787
69,"(137, 138)",0.6568970005997496,94.34426229508198,14.8535
70,"(511, 151)",0.6571993062911805,94.26229508196722,14.9408
71,"(91, 90)",0.6562083119465548,94.18032786885246,14.525
72,"(500, 501)",0.6553287116055971,94.09836065573771,14.8479
73,"(556, 555)",0.6552029629427902,94.01639344262294,15.4993
74,"(453, 452)",0.6548543236166623,93.93442622950819,14.7221
75,"(225, 224)",0.6507365852896702,93.85245901639344,14.8965
76,"(130, 131)",0.6455071777476941,93.77049180327869,14.9507
77,"(252, 251)",0.6448947030544343,93.68852459016394,14.7234
78,"(355, 354)",0.6467761324746674,93.60655737704919,14.9321
79,"(471, 472)",0.646706589419511,93.52459016393443,14.6486
80,"(519, 518)",0.6105539236786743,93.44262295081968,13.0463
81,"(514, 237)",0.609968236704769,93.36065573770492,13.0153
82,"(26, 25)",0.5959116388034713,93.27868852459017,12.4162
83,"(354, 353)",0.5952719432129945,93.1967213114754,12.3905
84,"(402, 85)",0.5929228473584318,93.11475409836065,12.0915
85,"(508, 509)",0.5929939001690179,93.0327868852459,12.5933
86,"(386, 385)",0.5937391050674399,92.95081967213115,12.4958
87,"(385, 384)",0.5937718839754133,92.8688524590164,12.6743
88,"(374, 373)",0.5937358227776776,92.78688524590164,12.3902
89,"(239, 238)",0.5851042438563584,92.70491803278689,12.3999
90,"(17, 18)",0.5798998244228804,92.62295081967213,13.0099
91,"(265, 266)",0.5727161954383563,92.54098360655738,12.4404
92,"(236, 237)",0.5597405458554175,92.45901639344262,12.2835
93,"(244, 245)",0.5310847905377221,92.37704918032787,11.2945
94,"(61, 62)",0.5309506288329314,92.29508196721311,11.2868
95,"(522, 521)",0.5283550127259934,92.21311475409836,11.3295
96,"(227, 226)",0.5280440584941697,92.1311475409836,11.0552
97,"(541, 540)",0.5242797986110691,92.04918032786885,11.0535
98,"(166, 165)",0.5164200209435186,91.9672131147541,11.1821
99,"(228, 279)",0.5032930887824865,91.88524590163935,11.1323
100,"(228, 246)",0.4996422918150077,91.80327868852459,11.1882
101,"(447, 105)",0.49830228269682103,91.72131147540983,11.0284
102,"(447, 446)",0.49413941515490245,91.63934426229508,11.0945
103,"(498, 497)",0.4898302471836483,91.55737704918032,10.912
104,"(310, 309)",0.48863059939189946,91.47540983606557,10.9999
105,"(245, 228)",0.48853699928954364,91.39344262295081,10.8457
106,"(227, 228)",0.4871184951877926,91.31147540983606,11.1017
107,"(22, 23)",0.4720418803725631,91.22950819672131,10.8635
108,"(94, 95)",0.47157769825137597,91.14754098360656,10.7521
109,"(338, 337)",0.4640551490072853,91.06557377049181,10.5536
110,"(1, 2)",0.46401916870629306,90.98360655737704,10.7562
111,"(175, 195)",0.4638721575345564,90.90163934426229,10.4544
112,"(445, 446)",0.463786252064324,90.81967213114754,10.4968
113,"(53, 52)",0.4628201628268551,90.73770491803279,10.6553
114,"(378, 379)",0.4631592707917738,90.65573770491804,10.6943
115,"(386, 387)",0.46284459758759866,90.57377049180329,10.5752
116,"(32, 31)",0.46231550784823305,90.49180327868852,10.4843
117,"(149, 150)",0.4554855524937435,90.40983606557377,10.5876
118,"(507, 506)",0.4099900135309956,90.32786885245902,9.4875
119,"(101, 0)",0.4027541849882567,90.24590163934427,9.2725
120,"(506, 507)",0.4020396075645471,90.1639344262295,9.1864
121,"(486, 485)",0.39598289589534497,90.08196721311475,9.1893
122,"(355, 230)",0.395495718675164,90.0,9.1905
123,"(273, 38)",0.3942266892536977,89.91803278688525,9.2621
124,"(421, 422)",0.3941151278882714,89.8360655737705,9.0799
125,"(343, 344)",0.39265675437414493,89.75409836065573,9.1767
126,"(422, 182)",0.3925415785168927,89.67213114754098,9.2561
127,"(114, 98)",0.3841162486586216,89.59016393442623,9.0518
128,"(39, 38)",0.3760440999129848,89.50819672131148,8.9721
129,"(487, 488)",0.3761584359785166,89.42622950819671,8.9177
130,"(492, 448)",0.3756569648571885,89.34426229508196,8.9036
131,"(214, 215)",0.3420582462652169,89.26229508196721,6.7382
132,"(457, 38)",0.34118580173813107,89.18032786885246,6.7167
133,"(488, 487)",0.3414587239254839,89.09836065573771,6.6429
134,"(456, 457)",0.34144362583947535,89.01639344262296,6.7882
135,"(401, 402)",0.3412951077764275,88.9344262295082,6.5718
136,"(218, 219)",0.3400890038096315,88.85245901639345,6.7235
137,"(42, 41)",0.33799096412910795,88.77049180327869,6.6701
138,"(206, 205)",0.3328963523605003,88.68852459016394,6.9255
139,"(163, 164)",0.3322882113811226,88.60655737704917,6.4867
140,"(446, 447)",0.33228140622191804,88.52459016393442,6.6551
141,"(169, 168)",0.3318379990666961,88.44262295081967,6.4668
142,"(113, 376)",0.33191475239018076,88.36065573770492,6.5301
143,"(473, 26)",0.32720148481379935,88.27868852459017,6.7334
144,"(128, 129)",0.313758291472691,88.19672131147541,6.3081
145,"(205, 206)",0.3090852006746245,88.11475409836066,6.2571
146,"(422, 421)",0.30855863128337413,88.03278688524591,6.1497
147,"(313, 314)",0.30840202104020636,87.95081967213115,6.2003
148,"(150, 149)",0.3066618467194904,87.8688524590164,6.2319
149,"(257, 256)",0.3002872232279135,87.78688524590163,6.1035
150,"(208, 209)",0.3000415204881409,87.70491803278688,6.0751
151,"(124, 123)",0.29447254896027864,87.62295081967213,6.1198
152,"(41, 42)",0.29356092133761635,87.54098360655738,6.0169
153,"(165, 166)",0.29151777451106037,87.45901639344262,6.203
154,"(486, 29)",0.29169305481401875,87.37704918032787,6.1159
155,"(308, 307)",0.2916089555175744,87.29508196721312,6.2383
156,"(389, 390)",0.29115466202385976,87.21311475409837,6.1818
157,"(413, 414)",0.26880895944403177,87.1311475409836,5.4464
158,"(154, 153)",0.2681788681657523,87.04918032786885,5.5753
159,"(160, 159)",0.2662919528825432,86.9672131147541,5.3884
160,"(276, 36)",0.2629505661859908,86.88524590163934,5.3089
161,"(26, 235)",0.24874100311693892,86.80327868852459,4.7992
162,"(268, 267)",0.2460537646879109,86.72131147540983,4.8674
163,"(346, 347)",0.24128223824577352,86.63934426229508,4.6656
164,"(440, 441)",0.24120674823459326,86.55737704918033,4.6866
165,"(491, 490)",0.240341481299915,86.47540983606558,4.7255
166,"(499, 500)",0.24021324462874116,86.39344262295083,4.663
167,"(190, 120)",0.22721758472233633,86.31147540983606,4.487
168,"(313, 323)",0.22586770021563407,86.2295081967213,4.4835
169,"(249, 250)",0.22532630205543674,86.14754098360655,4.5204
170,"(78, 79)",0.21226977397457242,86.0655737704918,4.1986
171,"(209, 208)",0.21190717350366867,85.98360655737704,4.2063
172,"(69, 70)",0.21148080801423177,85.90163934426229,4.0845
173,"(330, 331)",0.2107963996768546,85.81967213114754,4.1753
174,"(528, 529)",0.21042086655888712,85.73770491803279,4.1296
175,"(342, 343)",0.21040388121212755,85.65573770491804,4.0889
176,"(107, 108)",0.20590701290121668,85.57377049180329,4.133
177,"(270, 271)",0.20510510637164162,85.49180327868852,4.024
178,"(391, 392)",0.20503701061663576,85.40983606557377,4.01
179,"(425, 424)",0.20471253982075133,85.32786885245902,4.052
180,"(229, 27)",0.2044859845321708,85.24590163934427,4.0656
181,"(353, 462)",0.20440305925396987,85.16393442622952,4.0493
182,"(171, 172)",0.20285030231901757,85.08196721311475,4.0982
183,"(443, 444)",0.20278328138267526,85.0,4.0206
184,"(240, 239)",0.20242232047766617,84.91803278688525,4.097
185,"(548, 537)",0.20220206626748943,84.8360655737705,4.1087
186,"(512, 513)",0.20204260630342422,84.75409836065573,4.1339
187,"(397, 88)",0.20086153748093014,84.67213114754098,4.0569
188,"(331, 330)",0.2001982498753356,84.59016393442623,4.0223
189,"(274, 275)",0.19999888035469615,84.50819672131148,4.0372
190,"(13, 12)",0.19994754417155897,84.42622950819671,4.0077
191,"(19, 18)",0.19834201083644093,84.34426229508196,3.895
192,"(152, 151)",0.1977134572313693,84.26229508196721,4.0736
193,"(388, 234)",0.19723601065703555,84.18032786885246,3.9571
194,"(199, 200)",0.19491173957637184,84.09836065573771,4.0195
195,"(361, 345)",0.1933204266061899,84.01639344262296,3.9191
196,"(369, 368)",0.18698422364446207,83.93442622950819,3.929
197,"(243, 244)",0.18651747261814963,83.85245901639344,3.8268
198,"(323, 313)",0.18618978845990983,83.77049180327869,3.8299
199,"(147, 22)",0.18503810652462566,83.68852459016394,3.8113
200,"(72, 71)",0.1843153405300081,83.60655737704919,3.7658
201,"(104, 105)",0.17974237184442482,83.52459016393443,3.7505
202,"(282, 281)",0.17896052109137378,83.44262295081968,3.7422
203,"(86, 85)",0.17739124779142404,83.36065573770492,3.6489
204,"(534, 533)",0.17731953598651753,83.27868852459017,3.6686
205,"(146, 145)",0.17731411432122934,83.19672131147541,3.747
206,"(339, 255)",0.17556712276763922,83.11475409836065,3.5548
207,"(537, 548)",0.17541035350656475,83.0327868852459,3.7266
208,"(180, 181)",0.17327298450415748,82.95081967213115,3.6117
209,"(417, 175)",0.17155864457757938,82.8688524590164,3.5529
210,"(525, 524)",0.16987272360413752,82.78688524590164,3.6249
211,"(230, 352)",0.1693344737988782,82.70491803278689,3.6248
212,"(195, 175)",0.16921133988959447,82.62295081967213,3.5379
213,"(186, 27)",0.1666534293335525,82.54098360655738,3.5297
214,"(238, 237)",0.1659821465898033,82.45901639344262,3.546
215,"(533, 534)",0.165914933141893,82.37704918032787,3.6281
216,"(398, 232)",0.16509087231958522,82.29508196721311,3.5844
217,"(554, 555)",0.16488667597174236,82.21311475409836,3.5281
218,"(557, 556)",0.1648603905872107,82.1311475409836,3.5191
219,"(219, 220)",0.16473145181061807,82.04918032786885,3.6171
220,"(107, 106)",0.1615574423195773,81.9672131147541,3.5123
221,"(353, 354)",0.16144754484914128,81.88524590163935,3.5057
222,"(350, 349)",0.16055661010605488,81.8032786885246,3.4809
223,"(246, 247)",0.16036184479654517,81.72131147540983,3.4516
224,"(74, 73)",0.15264069783223705,81.63934426229508,3.4904
225,"(298, 299)",0.15242554088076835,81.55737704918032,3.3984
226,"(234, 77)",0.151788568275869,81.47540983606557,3.3666
227,"(493, 362)",0.15163256792621635,81.39344262295081,3.3505
228,"(406, 405)",0.15141430522126365,81.31147540983606,3.3689
229,"(475, 474)",0.14972528179715974,81.22950819672131,3.3969
230,"(255, 297)",0.14889433921570422,81.14754098360656,3.3376
231,"(378, 377)",0.14739095612202413,81.06557377049181,3.3225
232,"(0, 100)",0.14724992345364946,80.98360655737706,3.3228
233,"(418, 298)",0.14718091692585158,80.90163934426229,3.33
234,"(458, 459)",0.1466729609000312,80.81967213114754,3.2948
235,"(322, 284)",0.14655676136135307,80.73770491803278,3.3404
236,"(40, 41)",0.14614056530922473,80.65573770491802,3.3608
237,"(239, 240)",0.1452848239239693,80.57377049180327,3.3006
