step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds
0,,1.0,100.0,0.0
1,"(27, 26)",0.9615,99.91803278688523,25293.7208
2,"(26, 27)",0.9275,99.8360655737705,25748.5606
3,"(40, 39)",0.904,99.75409836065576,25566.5216
4,"(237, 238)",0.8808,99.672131147541,25847.1827
5,"(228, 245)",0.8603,99.59016393442624,23713.8172
6,"(164, 163)",0.8372,99.50819672131146,23932.889
7,"(39, 40)",0.8176,99.42622950819673,23334.2007
8,"(163, 164)",0.8011,99.34426229508196,23168.8628
9,"(38, 37)",0.7849,99.2622950819672,25289.4877
10,"(276, 36)",0.7594,99.18032786885246,25881.4512
11,"(38, 302)",0.7077,99.09836065573772,26958.5817
12,"(173, 174)",0.692,99.01639344262296,21401.1814
13,"(34, 35)",0.6778,98.9344262295082,19893.3584
14,"(78, 77)",0.6646,98.85245901639344,20329.457
15,"(152, 151)",0.6512,98.77049180327867,19217.9569
16,"(228, 227)",0.6396,98.68852459016394,19006.4725
17,"(292, 291)",0.6221,98.60655737704916,17904.4376
18,"(174, 173)",0.6105,98.52459016393442,16778.3601
19,"(98, 22)",0.5995,98.44262295081968,18846.0986
20,"(247, 248)",0.5891,98.36065573770492,18282.8144
21,"(37, 38)",0.5729,98.27868852459017,16195.7515
22,"(172, 196)",0.5442,98.1967213114754,16067.7947
23,"(36, 276)",0.5339,98.11475409836066,13362.3209
24,"(238, 237)",0.5246,98.0327868852459,13277.506
25,"(291, 292)",0.5153,97.95081967213116,12909.6315
26,"(188, 187)",0.5068,97.8688524590164,12629.8837
27,"(30, 29)",0.4966,97.78688524590164,11422.7718
28,"(409, 408)",0.4895,97.70491803278688,11154.4221
29,"(114, 479)",0.4793,97.62295081967213,11032.0843
30,"(234, 77)",0.4699,97.54098360655738,11007.6504
31,"(120, 229)",0.4528,97.45901639344262,11316.524
32,"(126, 416)",0.4458,97.37704918032787,10816.1035
33,"(232, 398)",0.4364810126582278,97.29508196721312,10387.937
34,"(345, 356)",0.42420886075949366,97.21311475409836,11645.248
35,"(15, 72)",0.41778481012658225,97.1311475409836,11640.9251
36,"(94, 136)",0.4087911392405063,97.04918032786884,10131.9719
37,"(15, 16)",0.4029430379746835,96.9672131147541,9748.9726
38,"(105, 104)",0.39434810126582276,96.88524590163934,10080.5202
39,"(232, 231)",0.3845126582278481,96.8032786885246,10326.7007
40,"(88, 357)",0.37582911392405066,96.72131147540983,9795.1686
41,"(85, 402)",0.3654177215189873,96.63934426229508,9261.7365
42,"(228, 279)",0.3597025316455696,96.55737704918032,8577.4515
43,"(187, 188)",0.3549177215189873,96.47540983606558,8393.7924
44,"(174, 175)",0.35031012658227845,96.3934426229508,8382.1365
45,"(132, 131)",0.34437341772151897,96.31147540983606,8686.2979
46,"(15, 14)",0.3378164556962025,96.22950819672133,8697.3612
47,"(127, 126)",0.321379746835443,96.14754098360656,8780.9147
48,"(416, 126)",0.3160632911392405,96.0655737704918,8155.5524
49,"(485, 486)",0.30848734177215187,95.98360655737706,7796.9919
50,"(114, 113)",0.3022405063291139,95.90163934426228,7332.9615
51,"(175, 174)",0.2981645569620253,95.81967213114754,7206.3156
52,"(132, 442)",0.2942215189873418,95.7377049180328,7173.0146
53,"(126, 127)",0.2857151898734177,95.65573770491802,7340.396
54,"(77, 234)",0.2808860759493671,95.57377049180327,7034.2029
55,"(103, 104)",0.27636708860759496,95.49180327868852,6871.0865
56,"(230, 231)",0.27162658227848097,95.40983606557376,6801.0994
57,"(266, 265)",0.2676835443037974,95.32786885245902,6606.1413
58,"(38, 39)",0.2622341772151898,95.24590163934428,6372.1527
59,"(339, 255)",0.2582025316455696,95.16393442622952,6088.5227
60,"(280, 255)",0.2543481012658228,95.08196721311477,6084.1429
61,"(327, 420)",0.2498291139240506,95.0,6152.5942
62,"(151, 152)",0.2462405063291139,94.91803278688523,6045.1096
63,"(77, 78)",0.23853164556962023,94.83606557377048,6082.2359
64,"(35, 34)",0.23512025316455692,94.75409836065572,5687.7801
65,"(365, 404)",0.23170886075949368,94.67213114754098,5583.651
66,"(256, 255)",0.2286518987341772,94.59016393442624,5508.9118
67,"(120, 190)",0.22621518987341774,94.50819672131148,5493.0623
68,"(509, 36)",0.2190379746835443,94.42622950819673,5450.7161
69,"(484, 483)",0.21664556962025314,94.34426229508198,5446.6763
70,"(136, 94)",0.214253164556962,94.26229508196722,5406.0077
71,"(262, 263)",0.21199367088607593,94.18032786885246,5244.1851
72,"(196, 172)",0.2097784810126582,94.09836065573772,5302.703
73,"(327, 328)",0.20760759493670886,94.01639344262294,5390.1533
74,"(506, 505)",0.2055253164556962,93.9344262295082,5241.9303
75,"(192, 191)",0.19954430379746835,93.85245901639344,5202.0206
76,"(22, 23)",0.19759493670886075,93.77049180327867,5231.3336
77,"(25, 24)",0.19555696202531644,93.68852459016394,5688.1992
78,"(337, 336)",0.19360759493670884,93.6065573770492,5277.8411
79,"(160, 159)",0.191879746835443,93.52459016393443,5111.0969
80,"(159, 160)",0.19019620253164557,93.44262295081968,5103.8981
81,"(408, 409)",0.18855696202531644,93.36065573770492,5103.5911
82,"(164, 218)",0.18687341772151897,93.27868852459017,5059.1178
83,"(39, 38)",0.18523417721518987,93.1967213114754,5043.6519
84,"(218, 164)",0.18359493670886073,93.11475409836063,5241.6682
85,"(177, 217)",0.18204430379746833,93.0327868852459,4880.6737
86,"(439, 172)",0.17934177215189873,92.95081967213116,4363.2766
87,"(178, 179)",0.1776139240506329,92.8688524590164,4340.8842
88,"(172, 439)",0.1754873417721519,92.78688524590164,4194.9705
89,"(215, 214)",0.17398101265822782,92.70491803278688,4172.8929
90,"(15, 133)",0.1724746835443038,92.62295081967213,4157.4978
91,"(324, 323)",0.17114556962025315,92.54098360655738,4124.2435
92,"(108, 109)",0.16981645569620252,92.45901639344262,4111.5401
93,"(382, 381)",0.16791139240506328,92.37704918032787,4056.3668
94,"(105, 447)",0.1665379746835443,92.29508196721312,4026.0105
95,"(404, 365)",0.16520886075949368,92.21311475409836,4040.8363
96,"(1, 0)",0.16387974683544304,92.1311475409836,4011.9433
97,"(474, 408)",0.1625506329113924,92.04918032786884,3988.3361
98,"(402, 85)",0.1612658227848101,91.9672131147541,3992.9882
99,"(181, 180)",0.15998101265822784,91.88524590163937,3953.8938
100,"(255, 280)",0.1587405063291139,91.8032786885246,3953.3241
101,"(68, 69)",0.15749999999999997,91.72131147540983,3928.3627
102,"(30, 31)",0.15625949367088607,91.63934426229508,3832.3337
103,"(393, 394)",0.1550632911392405,91.55737704918032,3816.186
104,"(83, 84)",0.1533354430379747,91.47540983606557,3804.9204
105,"(302, 38)",0.1521392405063291,91.3934426229508,3754.9202
106,"(25, 26)",0.1509873417721519,91.31147540983606,3755.2211
107,"(23, 22)",0.14965822784810126,91.22950819672133,3633.7915
108,"(519, 518)",0.14850632911392403,91.14754098360656,3500.0482
109,"(347, 348)",0.14744303797468353,91.0655737704918,3444.6632
110,"(344, 426)",0.14637974683544305,90.98360655737704,3410.7116
111,"(243, 244)",0.14531645569620252,90.90163934426228,3399.4567
112,"(117, 118)",0.14434177215189872,90.81967213114754,3340.9794
113,"(76, 75)",0.14336708860759492,90.7377049180328,3332.8515
114,"(149, 148)",0.142126582278481,90.65573770491804,3387.9944
115,"(514, 237)",0.14066455696202532,90.57377049180327,3996.1627
116,"(488, 504)",0.13968987341772152,90.49180327868852,3929.0867
117,"(36, 509)",0.13875949367088605,90.40983606557376,3990.7218
118,"(396, 395)",0.13787341772151898,90.32786885245902,3969.7365
119,"(86, 85)",0.13641139240506328,90.24590163934428,3941.0566
120,"(518, 519)",0.1355253164556962,90.1639344262295,3893.4711
121,"(392, 391)",0.1346392405063291,90.08196721311477,3890.7121
122,"(67, 66)",0.133753164556962,90.0,3861.1979
