step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds,removed_node_names
0,,1.0,100.0,0.0,
1,26.0,0.9138630231269365,99.82078853046595,17.9195,Bruxelles-Nord
2,23.0,0.9004562957446189,99.6415770609319,16.6626,Bruxelles-Chapelle
3,24.0,0.8998448232612756,99.46236559139786,20.0699,Bruxelles-Central
4,25.0,0.8994371749390443,99.2831541218638,19.3609,Bruxelles-Congrès
5,22.0,0.8457172315542884,99.10394265232975,17.2369,Bruxelles-Midi
6,174.0,0.8007084454904824,98.9247311827957,18.2748,Anvers-Berchem
7,27.0,0.79646591529002,98.74551971326166,15.4612,Schaerbeek
8,175.0,0.7921163811732045,98.56630824372759,18.3412,Mortsel
9,15.0,0.7587018983388867,98.38709677419355,16.7072,Gand-Saint-Pierre
10,173.0,0.7581929477600637,98.2078853046595,14.9452,Anvers-Central
